review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,NEGATIVE,3.2485530376434326
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,NEGATIVE,0.557490348815918
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,0.5077297687530518
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,POSITIVE,0.5087692737579346
the film is strictly routine .,1,negative,NEGATIVE,NEGATIVE,0.36127638816833496
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,0.41919851303100586
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,UNKNOWN,0.5474724769592285
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,NEGATIVE,0.46292662620544434
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,NEGATIVE,0.4097721576690674
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,0.6302902698516846
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,NEGATIVE,0.5961024761199951
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,NEGATIVE,0.4147517681121826
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,POSITIVE,0.5641121864318848
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5178887844085693
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,0.5692169666290283
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,0.3697991371154785
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,POSITIVE,0.5462663173675537
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,NEGATIVE,0.6644470691680908
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,0.5452296733856201
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,0.5085618495941162
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,0.4601430892944336
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,POSITIVE,0.6044466495513916
ruh-roh !,2,neutral,NEUTRAL,NEGATIVE,0.36626529693603516
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,POSITIVE,0.5678436756134033
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,NEGATIVE,0.5568525791168213
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.47229528427124023
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,POSITIVE,0.52720046043396
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",2,neutral,NEUTRAL,NEGATIVE,0.5651311874389648
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,negative,NEGATIVE,NEGATIVE,0.6665244102478027
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",3,positive,POSITIVE,POSITIVE,0.5267202854156494
"it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",4,very positive,VERY POSITIVE,POSITIVE,0.5165290832519531
i could n't recommend this film more .,3,positive,POSITIVE,POSITIVE,0.46752023696899414
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,very positive,VERY POSITIVE,POSITIVE,0.559058427810669
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",1,negative,NEGATIVE,NEGATIVE,0.5162744522094727
and it 's a lousy one at that .,0,very negative,VERY NEGATIVE,NEGATIVE,0.42403650283813477
leigh makes these lives count .,3,positive,POSITIVE,POSITIVE,0.3707742691040039
compellingly watchable .,4,very positive,VERY POSITIVE,POSITIVE,0.36148619651794434
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5558452606201172
"many shallower movies these days seem too long , but this one is egregiously short .",2,neutral,NEUTRAL,NEGATIVE,0.46944522857666016
most of the storylines feel like time fillers between surf shots .,0,very negative,VERY NEGATIVE,NEGATIVE,0.41284775733947754
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",3,positive,POSITIVE,UNKNOWN,0.5104687213897705
there 's no disguising this as one of the worst films of the summer .,0,very negative,VERY NEGATIVE,NEGATIVE,0.500166654586792
"with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .",4,very positive,VERY POSITIVE,POSITIVE,0.5175402164459229
a cockeyed shot all the way .,1,negative,NEGATIVE,POSITIVE,0.4127328395843506
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5214321613311768
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .,0,very negative,VERY NEGATIVE,NEGATIVE,0.46947479248046875
final verdict : you 've seen it all before .,0,very negative,VERY NEGATIVE,NEGATIVE,0.4332113265991211
the master of disguise is awful .,0,very negative,VERY NEGATIVE,NEGATIVE,0.37194180488586426
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,4,very positive,VERY POSITIVE,POSITIVE,0.5681238174438477
there 's not one decent performance from the cast and not one clever line of dialogue .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5040395259857178
stay away .,0,very negative,VERY NEGATIVE,NEGATIVE,0.41155290603637695
"the plot has a number of holes , and at times it 's simply baffling .",1,negative,NEGATIVE,NEGATIVE,0.4959263801574707
"an inexperienced director , mehta has much to learn .",1,negative,NEGATIVE,NEGATIVE,0.41957807540893555
