review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,UNKNOWN,0.0
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,UNKNOWN,0.0
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,UNKNOWN,0.0
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,UNKNOWN,0.0
the film is strictly routine .,1,negative,NEGATIVE,UNKNOWN,0.0
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,UNKNOWN,0.0
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,UNKNOWN,0.0
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,UNKNOWN,0.0
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,UNKNOWN,0.0
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,UNKNOWN,0.0
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,UNKNOWN,0.0
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,UNKNOWN,0.0
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,UNKNOWN,0.0
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,UNKNOWN,0.0
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,UNKNOWN,0.0
a solidly entertaining little film .,3,positive,POSITIVE,UNKNOWN,0.0
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,UNKNOWN,0.0
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,UNKNOWN,0.0
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,UNKNOWN,0.0
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,UNKNOWN,0.0
