review_text,label,ground_truth,predicted_topic,latency_seconds
"Yankees Seek to Keep Pitcher Jon Lieber (AP) AP - After watching their starting pitchers struggle for much of the season, the New York Yankees would like to bring Jon Lieber back for 2005.",1,SPORTS,SPORTS,9.23785948753357
"Sharing wealth was golden idea Kindergarten must have been good to LeBron James. With sharing at the top of that year's lesson plan, James might have collected a lot of gold stars for his behavior.",1,SPORTS,WORLD,1.2365713119506836
European Shares Tread Water  LONDON (Reuters) - European shares traded sideways on  Wednesday but banks were a bright spot as Britain's HBOS  rallied on relief it would not be wading into a bidding war for  domestic peer Abbey.,2,BUSINESS,BUSINESS,1.0925631523132324
Chelsea v Porto Defender Wayne Bridge is in contention for Chelsea after missing the weekend win at Middlesbrough due to a knock suffered in the draw against Tottenham.,1,SPORTS,SPORTS,1.5100271701812744
"Telstra in \$750m buyback By staff writers and wires. THE nationn #39;s biggest telco, Telstra Corp, is offering shareholders up to \$4.65 per share in a off-market buyback worth \$750 million.",2,BUSINESS,BUSINESS,1.5683567523956299
"Stocks Drop on \$49 Oil, Slowing Economy US blue-chip stocks fell on Thursday to nearly a five-week low as crude oil touched \$49 a barrel, close to the record set last month, and a key gauge of future economic activity fell for a third straight month.",2,BUSINESS,BUSINESS,1.180755853652954
"HK legislative poll points to the future When the British ruled Hong Kong, as pro-Beijing politicians are fond of pointing out, the territory #39;s people had no direct influence over the way they were governed.",0,WORLD,WORLD,1.601372480392456
PayPal and Apple iTunes link-up Payment system Paypal announces a tie-up with Apple's iTunes as it continues to secure new business with online retailers.,2,BUSINESS,BUSINESS,1.288496494293213
"Before Rape Arrest, Bryant Expressed Fear to Police In his first comments to the police on the night he was accused of rape, the basketball star Kobe Bryant was scared about what happened and may have conceded lying to ",1,SPORTS,UNKNOWN,0.47306323051452637
"FEC May Regulate Internet Political Activity By SHARON THEIMER     WASHINGTON (AP) -- With political fund raising, campaign advertising and organizing taking place in full swing over the Internet, it may just be a matter of time before the Federal Election Commission joins the action.    Well, that time may be now...",3,SCI / TECH,WORLD,0.9711730480194092
"Ottawa Says Time to Stop Protecting Air Canada The Canadian government, in a radical shift, said on Friday it was time to stop protecting national carrier Air Canada as it mulled whether to lift foreign ownership restrictions on the country #39;s airlines.",2,BUSINESS,WORLD,1.115781307220459
"Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and polymers unit of Bayer Corp., plans to move one of its factories from Texas to eastern China's Shandong province, state media reported Wednesday.",0,WORLD,BUSINESS,1.361640453338623
"US Job Cuts Steepest in Eight Months up 45 percent from August -- according to a survey released by the outplacement firm Challenger, Gray and Christmas. Compared with a year ago, job cuts were up 41 percent.",2,BUSINESS,BUSINESS,1.136124849319458
Hardie feels boycott pain ASBESTOS-RELATED boycotts of James Hardie products have forced the controversial building products maker to slash its profit forecast.,2,BUSINESS,BUSINESS,1.10030198097229
"Technology ; Fans Throng for First Crack at New Game  #39;Halo 2 #39; Technology News, LOS ANGELES - It takes a special kind of person to stay up all night and stand in a line nearly 250 people long just to buy a video game -- but for rabid fans of the first  quot;Halo quot; on the Xbox video game console, it was well worth the wait ",3,SCI / TECH,SCI / TECH,1.4388511180877686
"Oracle #39;s next fight seen at boardroom LOS ANGLES (CBS.MW) - Following its latest rejection, the next stage in Oracle Corp #39;s battle to buy PeopleSoft is set to begin in a courtroom on Wednesday.",2,BUSINESS,BUSINESS,1.3351733684539795
"Transsexual drives off to score a first on the golf course Golf is not a sport renowned for being at ease with gender issues. Many of the game #39;s great clubs refuse to admit women, and the occasional inclusion of women in men #39;s professional tournaments has caused consternation from Arran to Augusta.",1,SPORTS,UNKNOWN,0.7870898246765137
Forces Boost Urged to Halt Darfur Killings Calls for the deployment of substantial African forces to Sudan to end the slaughter in Darfur were agreed by Liberal Democrats today.,0,WORLD,WORLD,1.3233048915863037
"Orgeron to finalize deal with Rebels Ed Orgeron, Southern California #39;s assistant head coach and defensive line coach, has agreed to become the new coach at Mississippi, USC athletic department sources have told ESPN.",1,SPORTS,WORLD,2.639252185821533
Bill Overhauling Intelligence Faces Uncertain Fate in Senate The Senate opened a floor debate today and moved toward a final vote on a bill endorsed by 9/11 commission leaders.,0,WORLD,WORLD,1.4162189960479736
"Dutch bank to lay off 2,850 staff ABN Amro, the Netherlands #39; largest bank, is to cut 2,850 jobs as a result of falling profits. The cuts - amounting to 3 of the bank #39;s workforce - will result in a one-off charge of 790m euros (\$1.1bn).",2,BUSINESS,BUSINESS,1.2463297843933105
