review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,NEGATIVE,11.925263404846191
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6986722946166992
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,0.6305649280548096
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,POSITIVE,0.6472718715667725
the film is strictly routine .,1,negative,NEGATIVE,NEUTRAL,0.5098140239715576
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,0.5181488990783691
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,POSITIVE,0.5626533031463623
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,NEGATIVE,0.5638363361358643
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.5024511814117432
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,0.668541431427002
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6159617900848389
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,NEGATIVE,0.5484187602996826
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6008381843566895
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5857770442962646
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,0.667269229888916
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,0.49669384956359863
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,VERY POSITIVE,0.7336015701293945
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,NEGATIVE,0.8364441394805908
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,0.6244945526123047
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,0.6804342269897461
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,0.5064318180084229
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7117176055908203
ruh-roh !,2,neutral,NEUTRAL,VERY NEGATIVE,0.5109326839447021
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,0.6091971397399902
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6461637020111084
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.5786468982696533
