review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,POSITIVE,15.079737424850464
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7058095932006836
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,0.6587183475494385
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,NEUTRAL,0.7031316757202148
the film is strictly routine .,1,negative,NEGATIVE,NEGATIVE,0.48485875129699707
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,0.5478055477142334
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,POSITIVE,0.6160752773284912
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,NEGATIVE,0.5538468360900879
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,NEGATIVE,0.49955248832702637
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,0.6872308254241943
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6780340671539307
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,NEGATIVE,0.5611305236816406
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6826767921447754
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,NEUTRAL,0.6680912971496582
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,0.6789112091064453
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,0.5299391746520996
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,VERY POSITIVE,0.7470235824584961
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,NEGATIVE,0.9201076030731201
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,0.7140347957611084
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,0.6949868202209473
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,0.5762143135070801
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,POSITIVE,0.7019009590148926
ruh-roh !,2,neutral,NEUTRAL,VERY NEGATIVE,0.5901789665222168
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,0.6715655326843262
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6588773727416992
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.6755213737487793
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,POSITIVE,0.6214432716369629
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",2,neutral,NEUTRAL,NEGATIVE,0.7755272388458252
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,negative,NEGATIVE,NEGATIVE,0.7492527961730957
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",3,positive,POSITIVE,POSITIVE,0.6594944000244141
"it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",4,very positive,VERY POSITIVE,POSITIVE,0.6344544887542725
i could n't recommend this film more .,3,positive,POSITIVE,VERY POSITIVE,0.5567455291748047
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7688016891479492
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",1,negative,NEGATIVE,NEGATIVE,0.6789209842681885
and it 's a lousy one at that .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.5503239631652832
leigh makes these lives count .,3,positive,POSITIVE,POSITIVE,0.5145614147186279
compellingly watchable .,4,very positive,VERY POSITIVE,POSITIVE,0.5428423881530762
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7630326747894287
"many shallower movies these days seem too long , but this one is egregiously short .",2,neutral,NEUTRAL,NEGATIVE,0.576465368270874
most of the storylines feel like time fillers between surf shots .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6063992977142334
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",3,positive,POSITIVE,POSITIVE,0.6420187950134277
there 's no disguising this as one of the worst films of the summer .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6092443466186523
"with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .",4,very positive,VERY POSITIVE,POSITIVE,0.6624369621276855
a cockeyed shot all the way .,1,negative,NEGATIVE,VERY POSITIVE,0.6133430004119873
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6816854476928711
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .,0,very negative,VERY NEGATIVE,POSITIVE,0.6908962726593018
final verdict : you 've seen it all before .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5729241371154785
the master of disguise is awful .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.5977869033813477
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,4,very positive,VERY POSITIVE,POSITIVE,0.7014691829681396
there 's not one decent performance from the cast and not one clever line of dialogue .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6435637474060059
