review_text,ground_truth,label,predicted_intent,latency_seconds
I think I was charged by mistake on my debit statement.,DIRECT DEBIT PAYMENT NOT RECOGNISED,28,BALANCE NOT UPDATED AFTER BANK TRANSFER,3.745198965072632
Does transferring money have a fee?,TRANSFER FEE CHARGED,64,TRANSFER FEE CHARGED,0.32299280166625977
why is there a fee for the transfer I made?,TRANSFER FEE CHARGED,64,TRANSFER FEE CHARGED,0.3354527950286865
I think I was charged double for something I bought - how long should I wait before reporting this?,TRANSACTION CHARGED TWICE,63,TRANSACTION CHARGED TWICE,0.37835049629211426
Why was my cash withdrawal declined by the ATM?,DECLINED CASH WITHDRAWAL,26,DECLINED CASH WITHDRAWAL,0.35952186584472656
My card is showing the same transaction over and over again.,TRANSACTION CHARGED TWICE,63,TRANSACTION CHARGED TWICE,0.36261725425720215
I made a payment and it appears it is showing twice,TRANSACTION CHARGED TWICE,63,TRANSACTION CHARGED TWICE,0.34991002082824707
I am not recognizing a debit payment from my account.,DIRECT DEBIT PAYMENT NOT RECOGNISED,28,DIRECT DEBIT PAYMENT NOT RECOGNISED,0.3995356559753418
I tried to transfer some money and it hasn't done it yet - what's going on?,TRANSFER NOT RECEIVED BY RECIPIENT,66,TRANSFER NOT RECEIVED BY RECIPIENT,0.3992452621459961
What is going on? My balance still hasn't updated and it has been two weeks since I deposited my money!,BALANCE NOT UPDATED AFTER CHEQUE OR CASH DEPOSIT,6,BALANCE NOT UPDATED AFTER CHEQUE OR CASH DEPOSIT,0.45387768745422363
How long will it be  before the person I sent money to is able to see it?,TRANSFER NOT RECEIVED BY RECIPIENT,66,TRANSFER NOT RECEIVED BY RECIPIENT,0.4045834541320801
My balance was not updated after transferring money.,BALANCE NOT UPDATED AFTER BANK TRANSFER,5,BALANCE NOT UPDATED AFTER BANK TRANSFER,0.3478662967681885
"I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time they swiped the card I got a notification to say the money had gone out the account but then I added a tip and I think they swiped it all again. Can you refund one of the charges?",TRANSACTION CHARGED TWICE,63,TRANSACTION CHARGED TWICE,0.515899658203125
"When I went to $100, all the machine would give me was $20.",WRONG AMOUNT OF CASH RECEIVED,75,WRONG AMOUNT OF CASH RECEIVED,0.4176828861236572
What do I do if I got the wrong amount at the ATM?,WRONG AMOUNT OF CASH RECEIVED,75,WRONG AMOUNT OF CASH RECEIVED,0.3991575241088867
Why hasn't my friend's transaction arrive yet?,TRANSFER NOT RECEIVED BY RECIPIENT,66,TRANSFER NOT RECEIVED BY RECIPIENT,0.3821754455566406
I bought something with my card and I was charged a fee,CARD PAYMENT FEE CHARGED,15,CARD PAYMENT FEE CHARGED,0.38026881217956543
Why has my transfer not arrived yet?,TRANSFER NOT RECEIVED BY RECIPIENT,66,TRANSFER NOT RECEIVED BY RECIPIENT,0.3688821792602539
I noticed a charge for a transfer.  Why is this?  Is it because I did an international transfer?,TRANSFER FEE CHARGED,64,TRANSFER FEE CHARGED,0.39720702171325684
Why did I get charged for a withdrawal?,CASH WITHDRAWAL CHARGE,19,CASH WITHDRAWAL CHARGE,0.31417131423950195
Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,DIRECT DEBIT PAYMENT NOT RECOGNISED,28,DIRECT DEBIT PAYMENT NOT RECOGNISED,0.41840553283691406
I put some cash into my account but it's not displaying that on my balance.,BALANCE NOT UPDATED AFTER CHEQUE OR CASH DEPOSIT,6,BALANCE NOT UPDATED AFTER CHEQUE OR CASH DEPOSIT,0.4184141159057617
Why was I charged a fee for withdrawing money off my card?,CASH WITHDRAWAL CHARGE,19,CASH WITHDRAWAL CHARGE,0.32715773582458496
