review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,NEGATIVE,10.154496669769287
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7019379138946533
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,0.6442711353302002
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,POSITIVE,0.7295079231262207
the film is strictly routine .,1,negative,NEGATIVE,NEUTRAL,0.5542409420013428
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,0.5700581073760986
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,NEUTRAL,0.6199758052825928
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,NEUTRAL,0.6400749683380127
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,NEGATIVE,0.5079107284545898
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,0.6267814636230469
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6119954586029053
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,NEGATIVE,0.5173988342285156
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6076529026031494
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5777883529663086
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,0.6290097236633301
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,0.48146820068359375
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,POSITIVE,0.6711647510528564
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,NEGATIVE,0.8503632545471191
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,0.634406566619873
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,0.6378142833709717
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,0.5527119636535645
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,POSITIVE,0.7119274139404297
ruh-roh !,2,neutral,NEUTRAL,NEGATIVE,0.5081501007080078
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,0.6326055526733398
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.675473690032959
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.6377732753753662
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,POSITIVE,0.5997028350830078
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",2,neutral,NEUTRAL,NEGATIVE,0.7031044960021973
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,negative,NEGATIVE,NEGATIVE,0.6986174583435059
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",3,positive,POSITIVE,POSITIVE,0.584575891494751
"it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",4,very positive,VERY POSITIVE,POSITIVE,0.593726396560669
i could n't recommend this film more .,3,positive,POSITIVE,VERY POSITIVE,0.510629415512085
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6499857902526855
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",1,negative,NEGATIVE,NEGATIVE,0.6374444961547852
and it 's a lousy one at that .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.5090389251708984
leigh makes these lives count .,3,positive,POSITIVE,POSITIVE,0.46934986114501953
compellingly watchable .,4,very positive,VERY POSITIVE,POSITIVE,0.4692535400390625
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6231024265289307
"many shallower movies these days seem too long , but this one is egregiously short .",2,neutral,NEUTRAL,NEGATIVE,0.5836431980133057
most of the storylines feel like time fillers between surf shots .,0,very negative,VERY NEGATIVE,NEGATIVE,0.5252788066864014
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",3,positive,POSITIVE,NEUTRAL,0.6918537616729736
there 's no disguising this as one of the worst films of the summer .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6249101161956787
"with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .",4,very positive,VERY POSITIVE,POSITIVE,0.623835563659668
a cockeyed shot all the way .,1,negative,NEGATIVE,NEUTRAL,0.507331371307373
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6041083335876465
