review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,NEGATIVE,9.86058759689331
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.633976936340332
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,0.5949704647064209
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,POSITIVE,0.5865178108215332
the film is strictly routine .,1,negative,NEGATIVE,NEUTRAL,0.4860692024230957
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,0.4960308074951172
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,NEUTRAL,0.6143019199371338
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,NEGATIVE,0.4843723773956299
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,NEGATIVE,0.4342377185821533
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,0.5846428871154785
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,NEGATIVE,0.5385594367980957
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,NEGATIVE,0.5197906494140625
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6358330249786377
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6017613410949707
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,0.6434454917907715
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,0.4875833988189697
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,POSITIVE,0.5850141048431396
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,NEGATIVE,0.7377362251281738
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,0.586627721786499
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,0.590064525604248
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,0.4828791618347168
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,POSITIVE,0.6013424396514893
ruh-roh !,2,neutral,NEUTRAL,VERY NEGATIVE,0.4800231456756592
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,0.5247159004211426
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.5824415683746338
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.5420026779174805
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,POSITIVE,0.5427088737487793
