review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds
contradicts everything we 've come to expect from movies nowadays .,3,positive,POSITIVE,NEGATIVE,10.091749906539917
"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.021743535995483
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3,positive,POSITIVE,POSITIVE,8.883426904678345
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,negative,NEGATIVE,POSITIVE,9.118380546569824
the film is strictly routine .,1,negative,NEGATIVE,NEGATIVE,8.43446397781372
"if you answered yes , by all means enjoy the new guy .",3,positive,POSITIVE,POSITIVE,9.138835906982422
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",3,positive,POSITIVE,POSITIVE,9.163084506988525
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,negative,NEGATIVE,POSITIVE,8.753827571868896
"cold , sterile and lacking any color or warmth .",0,very negative,VERY NEGATIVE,NEGATIVE,8.991978406906128
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",4,very positive,VERY POSITIVE,POSITIVE,9.35819673538208
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",0,very negative,VERY NEGATIVE,NEGATIVE,9.106438636779785
the film never finds its tone and several scenes run too long .,1,negative,NEGATIVE,POSITIVE,9.034240484237671
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",4,very positive,VERY POSITIVE,VERY POSITIVE,9.369992017745972
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.520049095153809
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",3,positive,POSITIVE,POSITIVE,11.870318174362183
a solidly entertaining little film .,3,positive,POSITIVE,POSITIVE,8.63332748413086
it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .,4,very positive,VERY POSITIVE,POSITIVE,9.347995042800903
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.778919219970703
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",3,positive,POSITIVE,POSITIVE,9.37500286102295
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,POSITIVE,9.980018854141235
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,POSITIVE,9.551432132720947
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,VERY POSITIVE,9.79856014251709
ruh-roh !,2,neutral,NEUTRAL,NEUTRAL,11.953223943710327
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,8.40757942199707
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,10.111946105957031
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,8.705904960632324
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,POSITIVE,10.935259103775024
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",2,neutral,NEUTRAL,VERY NEGATIVE,9.687415838241577
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,negative,NEGATIVE,NEGATIVE,10.303554773330688
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",3,positive,POSITIVE,POSITIVE,10.55325436592102
"it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",4,very positive,VERY POSITIVE,POSITIVE,10.027931213378906
i could n't recommend this film more .,3,positive,POSITIVE,VERY POSITIVE,8.816299676895142
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,very positive,VERY POSITIVE,VERY POSITIVE,10.196880102157593
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",1,negative,NEGATIVE,POSITIVE,9.939429759979248
and it 's a lousy one at that .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.380333185195923
leigh makes these lives count .,3,positive,POSITIVE,POSITIVE,9.898909091949463
compellingly watchable .,4,very positive,VERY POSITIVE,POSITIVE,11.209663152694702
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,12.033684492111206
"many shallower movies these days seem too long , but this one is egregiously short .",2,neutral,NEUTRAL,VERY NEGATIVE,8.942816257476807
most of the storylines feel like time fillers between surf shots .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,10.177525997161865
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",3,positive,POSITIVE,POSITIVE,10.223569393157959
there 's no disguising this as one of the worst films of the summer .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,10.184453248977661
"with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .",4,very positive,VERY POSITIVE,VERY POSITIVE,11.117491245269775
a cockeyed shot all the way .,1,negative,NEGATIVE,VERY NEGATIVE,10.197848558425903
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,11.386836767196655
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .,0,very negative,VERY NEGATIVE,NEGATIVE,10.92267632484436
final verdict : you 've seen it all before .,0,very negative,VERY NEGATIVE,POSITIVE,9.760740756988525
the master of disguise is awful .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,7.305275201797485
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,4,very positive,VERY POSITIVE,VERY POSITIVE,7.999586820602417
there 's not one decent performance from the cast and not one clever line of dialogue .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.860766172409058
stay away .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,8.435468196868896
"the plot has a number of holes , and at times it 's simply baffling .",1,negative,NEGATIVE,VERY NEGATIVE,10.010329723358154
"an inexperienced director , mehta has much to learn .",1,negative,NEGATIVE,VERY NEGATIVE,8.513351678848267
"not only does spider-man deliver , but i suspect it might deliver again and again .",4,very positive,VERY POSITIVE,VERY POSITIVE,10.002601385116577
"not only does leblanc make one spectacularly ugly-looking broad , but he appears miserable throughout as he swaggers through his scenes .",1,negative,NEGATIVE,VERY NEGATIVE,10.552083015441895
"the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",0,very negative,VERY NEGATIVE,NEGATIVE,11.24651575088501
contrived pastiche of caper clichés .,1,negative,NEGATIVE,VERY NEGATIVE,9.58145523071289
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",0,very negative,VERY NEGATIVE,POSITIVE,10.329503297805786
"you end up simply admiring this bit or that , this performance or that .",2,neutral,NEUTRAL,POSITIVE,9.77595043182373
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .",0,very negative,VERY NEGATIVE,POSITIVE,10.230374813079834
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .",4,very positive,VERY POSITIVE,POSITIVE,9.840707540512085
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,2,neutral,NEUTRAL,POSITIVE,9.6707181930542
"it 's a square , sentimental drama that satisfies , as comfort food often can .",3,positive,POSITIVE,POSITIVE,10.10565447807312
"it 's refreshing that someone understands the need for the bad boy ; diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly .",4,very positive,VERY POSITIVE,VERY POSITIVE,9.564231395721436
a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,0,very negative,VERY NEGATIVE,NEGATIVE,9.844597339630127
but the movie that does n't really deliver for country music fans or for family audiences,0,very negative,VERY NEGATIVE,NEGATIVE,8.394826173782349
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .",4,very positive,VERY POSITIVE,POSITIVE,10.498171091079712
suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.876152753829956
warmed-over hash .,2,neutral,NEUTRAL,VERY NEGATIVE,9.409307956695557
a flawed but engrossing thriller .,3,positive,POSITIVE,POSITIVE,9.834620714187622
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",3,positive,POSITIVE,POSITIVE,10.425788640975952
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,3,positive,POSITIVE,POSITIVE,10.226936340332031
"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",2,neutral,NEUTRAL,POSITIVE,10.43449592590332
"it may not be history -- but then again , what if it is ?",2,neutral,NEUTRAL,POSITIVE,10.11622953414917
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",3,positive,POSITIVE,POSITIVE,9.84903597831726
"may be more genial than ingenious , but it gets the job done .",3,positive,POSITIVE,POSITIVE,9.560450792312622
"bacon keeps things interesting , but do n't go out of your way to pay full price .",2,neutral,NEUTRAL,POSITIVE,10.486654996871948
"a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .",0,very negative,VERY NEGATIVE,UNKNOWN,9.651032447814941
this is an interesting movie ! '',4,very positive,VERY POSITIVE,VERY POSITIVE,9.9804105758667
give credit to everyone from robinson down to the key grip that this bold move works .,4,very positive,VERY POSITIVE,POSITIVE,10.423931121826172
` opening up ' the play more has partly closed it down .,1,negative,NEGATIVE,POSITIVE,10.862682342529297
"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,8.466934204101562
takes a simple premise and carries it to unexpected heights .,4,very positive,VERY POSITIVE,POSITIVE,9.507409811019897
"high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",1,negative,NEGATIVE,VERY NEGATIVE,9.991528749465942
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",3,positive,POSITIVE,POSITIVE,9.906353235244751
a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,very negative,VERY NEGATIVE,VERY NEGATIVE,9.025166034698486
i have to admit that i am baffled by jason x.,1,negative,NEGATIVE,POSITIVE,9.647157192230225
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",4,very positive,VERY POSITIVE,POSITIVE,9.535489559173584
the movie is so thoughtlessly assembled .,3,positive,POSITIVE,VERY NEGATIVE,8.643693447113037
the most anti-human big studio picture since 3000 miles to graceland .,2,neutral,NEUTRAL,VERY NEGATIVE,8.714771747589111
more good than great but freeman and judd make it work .,3,positive,POSITIVE,POSITIVE,9.813844203948975
australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,4,very positive,VERY POSITIVE,POSITIVE,10.377593994140625
